COMPONENTE,NOMBRE,$,US,DESPACHO,TOTAL,TIENDA
CPU,"AMD Ryzen 5 3600, R5, 3.6Ghz 6core/12threads","185,570",236,,,AliExpress
GPU,XFX Radeon RX 580 GTS XXX Edition 8GB GDDR5,-,443.49,,,AliExpress
RAM x2,Corsair Vengeance LPX 8GB DDR4 3200Mhz,"36,670",115.13,,,AliExpress
SSD SATA,Samsung 860 Evo SSD 500GB SATA 3 2.5 inches,"41,222",83.7,,,AliExpress
SSD M.2 NVME,KingDian SSD M.2 256GB,-,34.41,,,AliExpress
MB,Asus PRIME B450M-A II Socket AM4/DDR4/SATA3&USB3.2/M.2/mATX,"65,826",-,,,TyT Chile
PSU,"Be Quiet! 500W CM Pure Power 11, Modular, 80+ Plus® Gold","67,990",-,"5,240","73,230",SP Digital
FANS x2,Noctua NF-P14s redux-1500 PWM High Performance Cooling Fan 4-Pin 1500 RPM 140mm,-,"64,78",,,
WIFI/BLUETOOTH,AX3000 Wi-Fi 6 Bluetooth 5.0 PCI ExpressAdapter,"51,890",-,"5,610","57,500",SP Digital
CASE,"Thermaltake S100 TG, Micro ATX","48,960",-,"16,065",65025,Centrale
PERIFÉRICOS ,,,,,,
MONITOR,"Dell Monitor 23,8"" SE2419HR, Full HD, Panel IPS, HDMI, FreeSync","137,090",-,"5,344","142,434",PC Factory
KEYBOARD,Durgod 87 Taurus k320 Cherry Mix Switches pbt,,84,,,
MOUSE,Razer Basilisk V2,,68,,,
HEADSET,Corsair Void Wireless Pro,,,,,
EXTRAS,,,,,,
PASTA TÉRMICA ,Noctua Owl NT-H2 3.5g,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"498,128",,,,
,,"434,144",US 542.68,,,
,,"26,915",Despacho,,,
,,"959,187",TOTAL,,,